O	6887	動	閃開	siám--khui					伊/看/著/我/來/就/緊/閃開/。	他一看見我來就趕緊躲開。	【動】讓開、避開。例：伊看著我來就緊閃開。I khuànn tio̍h guá lâi tō kín siám--khui. (他一看見我來就趕緊躲開。)　											
O	6889	名	針黹	tsiam-tsí	針指				查某囡仔/愛/加減/學/寡/針黹/。	女孩子家要多少學一點女紅。	【名】女紅、針指。女子所做的針線、紡織、刺繡、縫紉等工作。例：查某囡仔愛加減學寡針黹。Tsa-bóo gín-á ài ke-kiám o̍h kuá tsiam-tsí. (女孩子家要多少學一點女紅。)　											
O	6892	動	鬥跤手	tàu-kha-tshiú	鬥骹手、鬥腳手、湊腳手		鬥相共、鬥無閒、鬥幫贊		你/緊/來/共/我/鬥跤手/。	你快來幫我。	【動】幫忙。幫助他人做事或者解決困難。例：你緊來共我鬥跤手。Lí kín lâi kā guá tàu-kha-tshiú. (你快來幫我。)　	幫忙	鬥相共　tàu-sann-kǎng	鬥相共　tàu-sann-kāng	鬥相共　tàu-sann-kāng	鬥相共　tàu-sann-kāng	鬥相共　tàu-sann-kāng, 鬥跤手　tàu-kha-tshiú	鬥跤手　tàu-kha-tshiú	鬥相共　tàu-sann-kāng	鬥相共　tàu-sann-kāng, 鬥跤手　tàu-kha-tshiú, 幫忙　pang-bâng	鬥相共　tàu-sann-kāng, 鬥跤手　tàu-kha-tshiú	鬥相共　tàu-sann-kāng, 鬥跤手　tàu-kha-tshiú
O	6894	動	鬥夥計	tàu-hué-kì/tàu-hé-kì	搭夥計、湊夥計				伊/佇/外口/鬥夥計/，//某/敢/攏/毋知/？	他在外面勾搭姘頭，他太太難道都不知情？	1.【動】勾搭姘頭。例：伊佇外口鬥夥計，某敢攏毋知？I tī guā-kháu tàu-hué-kì, in bóo kám lóng m̄ tsai? (他在外面勾搭姘頭，他太太難道都不知情？)　[近]私通、通姦	姘婦	夥計　hér-kì	夥計　hér-kì	夥計　hé-khì	夥計　hué-kì	夥計　hué-kì	夥計　hué-kì	鬥頭　tàu-thâu	鬥頭　tàu-thâu	夥計　hé-kì	夥計仔　hué-kì-á
O	6897	形	鬼精	kuí-tsiann					你/莫/看/彼个/囡仔/乖乖/啊/，/其實/伊/真/鬼精/。	你別看那個小孩好像很乖巧，事實上他很鬼靈精怪。	1.【形】形容一個人滑頭、聰明，很鬼靈精。例：你莫看彼个囡仔乖乖啊，其實伊真鬼精。Lí mài khuànn hit ê gín-á kuai-kuai--ah, kî-si̍t i tsin kuí-tsiann. (你別看那個小孩好像很乖巧，事實上他很鬼靈精怪。)　											
O	6897	名	鬼精	kuí-tsiann					世間/敢/真正/有/鬼精/？	世間真的有鬼怪存在嗎？	2.【名】鬼怪。例：世間敢真正有鬼精？Sè-kan kám tsin-tsiànn ū kuí-tsiann? (世間真的有鬼怪存在嗎？)　											
O	6903	名	骨輪	kut-lûn					痠/骨輪/，/疼/骨/節/。	全身筋骨酸痛。	【名】骨節、關節。例：痠骨輪，疼骨節。Sng kut-lûn, thiànn kut-tsat. (全身筋骨酸痛。)　											
O	6906	動	鬥鬧熱	tàu-lāu-jia̍t/tàu-lāu-lia̍t	湊鬧熱、逗鬧熱				廟/口/咧/大/拜拜/，/咱/來去/鬥鬧熱/。	廟口正在大拜拜，我們去共襄盛舉。	1.【動】共襄盛舉。參加熱鬧的事情。例：廟口咧大拜拜，咱來去鬥鬧熱。Biō-kháu teh tuā pài-pài, lán lâi-khì tàu-lāu-jia̍t. (廟口正在大拜拜，我們去共襄盛舉。)　											
O	6906	動	鬥鬧熱	tàu-lāu-jia̍t/tàu-lāu-lia̍t	湊鬧熱、逗鬧熱				大人/咧/處理/代誌/，/囡仔人/毋通/來/鬥鬧熱/。	大人在處理事情，小孩子不要來添麻煩。	2.【動】自謙給人帶來麻煩或嘲笑他人只是湊熱鬧而已，無法提供實際的協助。例：大人咧處理代誌，囡仔人毋通來鬥鬧熱。Tuā-lâng teh tshú-lí tāi-tsì, gín-á-lâng m̄-thang lâi tàu-lāu-jia̍t. (大人在處理事情，小孩子不要來添麻煩。)　[近]鬥無閒											
O	6912	形	鬼頭鬼腦	kuí-thâu-kuí-náu					彼个/人/鬼頭鬼腦/，/逐工/都/想空想縫/欲/食人/。	那個人鬼頭鬼腦，成天都打歪腦筋要占人便宜。	【形】形容一個人一天到晚動歪腦筋，想些不正經的點子。例：彼个人鬼頭鬼腦，逐工都想空想縫欲食人。Hit ê lâng kuí-thâu-kuí-náu, ta̍k kang to siūnn-khang-siūnn-phāng beh tsia̍h--lâng. (那個人鬼頭鬼腦，成天都打歪腦筋要占人便宜。)　											
O	6914	動	鬥幫贊	tàu-pang-tsān			鬥相共、鬥無閒、鬥跤手		這/遍/佳哉/有/你/鬥幫贊/，/實在/真/多謝/！	這次多虧有你幫助，實在很感謝！	【動】幫助。例：這遍佳哉有你鬥幫贊，實在真多謝！Tsit piàn ka-tsài ū lí tàu-pang-tsān, si̍t-tsāi tsin to-siā! (這次多虧有你幫助，實在很感謝！)　											
O	6916	動	閃避	siám-pī			逃避		閃避/不及/ 	來不及躲開	【動】閃躲。不敢面對。例：閃避不及　siám-pī put ki̍p(來不及躲開)。											
O	6918	動	釘點	tìng-tiám					檨仔/開/始/釘點/矣/，/緊/切/來/食食/咧/。	芒果開始生斑了，快切來吃吧。	【動】水果上出現斑點。例：檨仔開始釘點矣，緊切來食食咧。Suāinn-á khai-sí tìng-tiám--ah, kín tshiat lâi tsia̍h-tsia̍h--leh. (芒果開始生斑了，快切來吃吧。)　											
O	6923	形	閃爍	siám-sih	閃熾、閃熠				閃爍/的/天/星/ 	星光閃爍	【形】光線不穩定，明明滅滅的樣子，也常以「閃閃爍爍」(siám-siám-sih-sih)的重疊型態出現。例：閃爍的天星　siám-sih ê thinn-tshenn(星光閃爍)。											
O	6929	形	乾	【文】kan		【白】kuann、khiân			乾/颱/ 	只颳風不下雨的颱風	1.【形】乾燥。沒有水分。例：乾颱　kan-thai(只颳風不下雨的颱風)。[近]焦											
O	6929	動	乾	【文】kan		【白】kuann、khiân			咱/兩/个/來/乾/一/杯/！	我們兩個來乾一杯！	2.【動】乾杯。將杯子裡的酒喝光。例：咱兩个來乾一杯！Lán nn̄g ê lâi kan--tsi̍t-pue! (我們兩個來乾一杯！)；乾啦！Kan--lah! 　											
O	6930	名	乾	khiân		【白】kuann、【文】kan			乾/坤/ 	天地	1.【名】術數用語。易經八卦的卦名之一，代表天、陽的意思。或是六十四卦名之一，象徵君子應自強不息，努力永不懈怠的意思。例：乾坤　khiân-khun(天地)。											
O	6930	形	乾	khiân		【白】kuann、【文】kan			乾/造/ 	男方的八字	2.【形】代表陽性、男性的。例：乾造　khiân-tsō(男方的八字)。											
X	6931	動	偃	【替】ián					相偃/ 	相撲	【動】二人角力，將對方摔倒。例：相偃　sio-ián(相撲)、偃予伊倒　ián hōo i tó(角力而將他摔倒)。											
O	6932	名	假	【文】ká		【白】ké、【文】kà、【白】kè			我/欲/用/後日/的/假/來去/山/。	我後天的假期打算去爬山。	【名】閒暇或是不用上班、上學的日子。例：我欲用後日的假來去山。Guá beh īng āu--ji̍t ê ká lâi-khì peh-suann. (我後天的假期打算去爬山。)　											
O	6933	形	假	【白】ké		【文】ká、【文】kà、【白】kè			彼个/物件/是/假/的/。	那個東西是假的。	1.【形】不真實的、虛偽的。例：彼个物件是假的。Hit ê mi̍h-kiānn sī ké--ê. (那個東西是假的。)　[近]虛[反]真、實											
O	6933	動	假	【白】ké		【文】ká、【文】kà、【白】kè			莫/假/！/閣/假/就/無/成/矣/！	別裝了！再裝就不像了！	2.【動】偽裝、裝作。例：莫假！閣假就無成矣！Mài ké! Koh ké tō bô sîng--ah! (別裝了！再裝就不像了！)　											
X	6934	副	偌	【替】guā	若、外				這/本/冊/愛/偌濟/錢/？	這本書要多少錢？	【副】多少。例：這本冊愛偌濟錢？Tsit pún tsheh ài guā-tsē tsînn? (這本書要多少錢？)　											
O	6935	形	偏	【文】phian		【白】phinn			彼个/鼓仔燈/吊/甲/傷/偏/矣/。	那個燈籠吊得太歪了。	【形】歪斜、不正。例：彼个鼓仔燈吊甲傷偏矣。Hit ê kóo-á-ting tiàu kah siunn phian--ah. (那個燈籠吊得太歪了。)　											
O	6936	動	偏	【白】phinn		【文】phian			毋通/共/人/偏/。	不要占別人便宜。	【動】占便宜。例：毋通共人偏。M̄-thang kā lâng phinn. (不要占別人便宜。)　											
O	6937	動	做	tsò/tsuè					學生/咧/做/實驗/。	學生在進行實驗。	1.【動】進行某一件事情。例：學生咧做實驗。Ha̍k-sing teh tsò si̍t-giām. (學生在進行實驗。)　	做	tsuè	tserè	tsuè	tsò	tsòr	tsòr	tsuè	tsuè	tsuè	tsò
O	6937	動	做	tsò/tsuè					你/是/做/啥物/的/？/我/咧/做/老師/。	你是做什麼的？我是老師。	2.【動】擔任或從事某種行業、工作。例：你是做啥物的？我咧做老師。Lí sī tsò siánn-mih--ê? Guá teh tsò lāu-su. (你是做什麼的？我是老師。)　	做	tsuè	tserè	tsuè	tsò	tsòr	tsòr	tsuè	tsuè	tsuè	tsò
O	6937	動	做	tsò/tsuè					我/咧/做/長衫/。	我在縫製長袍。	3.【動】製做。例：我咧做長衫。Guá teh tsò tn̂g-sann. (我在縫製長袍。)；做雞卵糕　tsò ke-nn̄g-ko(做蛋糕)、做花矸　tsò hue-kan(做花瓶)。	做	tsuè	tserè	tsuè	tsò	tsòr	tsòr	tsuè	tsuè	tsuè	tsò
O	6937	動	做	tsò/tsuè					伊/七/少年/八/少年/就/做/公/矣/。	他年紀輕輕的就當爺爺了。	4.【動】身為、具有、成為一種身分。例：伊七少年八少年就做公矣。I tshit siàu-liân peh siàu-liân tō tsò kong--ah. (他年紀輕輕的就當爺爺了。)　	做	tsuè	tserè	tsuè	tsò	tsòr	tsòr	tsuè	tsuè	tsuè	tsò
O	6937	動	做	tsò/tsuè					這/是/你/家己/做/得/來/的/，/毋是/人/害/你/的/。	這是你自己招惹來的，不是人家害你的。	5.【動】招惹。例：這是你家己做得來的，毋是人害你的。Tse sī lí ka-kī tsò-tit lâi--ê, m̄ sī lâng hāi--lí--ê. (這是你自己招惹來的，不是人家害你的。)　	做	tsuè	tserè	tsuè	tsò	tsòr	tsòr	tsuè	tsuè	tsuè	tsò
O	6937	介	做	tsò/tsuè					欲/睏/做/你/去/睏/。	要睡你就儘管去睡。	6.【介】任由、儘管、只管。例：欲睏做你去睏。Beh khùn tsò lí khì khùn. (要睡你就儘管去睡。)　	做	tsuè	tserè	tsuè	tsò	tsòr	tsòr	tsuè	tsuè	tsuè	tsò
O	6938	動	停	thîng			定		停/！/莫/閣/動/矣/！	停！不要再動了！	【動】運動中的東西不再運動。例：停！莫閣動矣！Thîng! Mài koh tāng--ah! (停！不要再動了！)；好停矣　hó thîng--ah(該停止了)。											
O	6939	動	偝	【替】āinn/iāng					偝/囡仔/ 	背小孩	【動】背。專指背人。例：偝囡仔　āinn gín-á(背小孩)。											
X	6940	動	偷	thau					錢/予/賊仔/偷提/去/矣/！	錢被小偷偷走了！	1.【動】竊取。例：錢予賊仔偷提去矣！Tsînn hōo tsha̍t-á thau-the̍h--khì--ah! (錢被小偷偷走了！)　[近]勍											
X	6940	副	偷	thau					偷食/ 	偷吃	2.【副】私底下、不光明正大。例：偷食　thau tsia̍h(偷吃)、偷笑　thau tshiò。											
O	6941	名	兜	tau					阮/兜/ 	我家、我們家	1.【名】家、居住所。例：阮兜　guán tau(我家、我們家)。	家	兜　tau, 地　tèr	兜　tau	兜　tau	厝　tshù, 兜　tau	厝　tshù, 兜　tau	兜　tau	地　tèr, 兜　tau	地　tè, 兜　tau	兜　tau	兜　tau
X	6941	位	兜	tau					皇帝/跤兜/ 	天子腳下。即京城。	2.【位】腳下、跟前。例：皇帝跤兜　hông-tè kha-tau(天子腳下。即京城。)　	家	兜　tau, 地　tèr	兜　tau	兜　tau	厝　tshù, 兜　tau	厝　tshù, 兜　tau	兜　tau	地　tèr, 兜　tau	地　tè, 兜　tau	兜　tau	兜　tau
X	6941	位	兜	tau					年兜/ 	年底、靠近過年的時候	3.【位】在附近、左右的意思。例：年兜　nî-tau(年底、靠近過年的時候)、厝邊兜　tshù-pinn-tau(鄰居)。	家	兜　tau, 地　tèr	兜　tau	兜　tau	厝　tshù, 兜　tau	厝　tshù, 兜　tau	兜　tau	地　tèr, 兜　tau	地　tè, 兜　tau	兜　tau	兜　tau
O	6942	動	剪	tsián					我/共/布/剪/開/。	我將布剪開。	1.【動】將東西裁斷。例：我共布剪開。Guá kā pòo tsián--khui. (我將布剪開。)；我共麵線剪斷。Guá kā mī-suànn tsián--tn̄g. (我把麵線裁斷。)　[近]鉸	剪	鉸　ka	剪　tsián, 鉸　ka	鉸　ka	剪　tsián, 鉸　ka	剪　tsián, 鉸　ka	剪　tsián, 鉸　ka	鉸　ka, 剪　tsián, 攆　lián	鉸　ka　	鉸　ka, 剪　tsián	鉸　ka
O	6942	動	剪	tsián					風/規个/剪/過/來/。	風整個強力地吹過來。	2.【動】風強力地吹來。例：風規个剪過來。Hong kui-ê tsián--kuè-lâi. (風整個強力地吹過來。)　	剪	鉸　ka	剪　tsián, 鉸　ka	鉸　ka	剪　tsián, 鉸　ka	剪　tsián, 鉸　ka	剪　tsián, 鉸　ka	鉸　ka, 剪　tsián, 攆　lián	鉸　ka　	鉸　ka, 剪　tsián	鉸　ka
O	6942	動	剪	tsián					冊/予/剪蟲/剪/去/矣/。	書被蠹蟲蛀掉了。	3.【動】被蟲蛀掉。例：冊予剪蟲剪去矣。Tsheh hōo tsián-thâng tsián--khì--ah. (書被蠹蟲蛀掉了。)　	剪	鉸　ka	剪　tsián, 鉸　ka	鉸　ka	剪　tsián, 鉸　ka	剪　tsián, 鉸　ka	剪　tsián, 鉸　ka	鉸　ka, 剪　tsián, 攆　lián	鉸　ka　	鉸　ka, 剪　tsián	鉸　ka
X	6943	量	副	hù					一副/牲醴/ 	一份牲禮	1.【量】計算成套、成組、成雙的物品單位。例：一副牲醴　tsi̍t hù sing-lé(一份牲禮)、一副碗箸　tsi̍t hù uánn-tī(一副碗筷)。											
X	6943	形	副	hù					副業/ 	主業之外附帶經營的其他職業	3.【形】附帶的。例：副業　hù-gia̍p(主業之外附帶經營的其他職業)。											
O	6944	動	假𠢕	ké-gâu	假賢				你/莫/咧/假𠢕/。	你不要自作聰明。	1.【動】自以為是、自作聰明。例：你莫咧假𠢕。Lí mài teh ké-gâu. (你不要自作聰明。)　											
O	6944	動	假𠢕	ké-gâu	假賢				你/若是/無/法度/，/就/毋通/踮/遐/咧/假𠢕/。	你如果沒辦法，就不要在那裡逞強。	2.【動】逞強、逞能。例：你若是無法度，就毋通踮遐咧假𠢕。Lí nā-sī bô-huat-tōo, tō m̄-thang tiàm hia teh ké-gâu. (你如果沒辦法，就不要在那裡逞強。)　											
O	6945	動	做人	tsò--lâng/tsuè--lâng	做儂				恁/查某囝/敢/做人/矣/？	你女兒許配給人家了嗎？	【動】女孩子許配給人家。例：恁查某囝敢做人矣？Lín tsa-bóo-kiánn kám tsò--lâng--ah? (你女兒許配給人家了嗎？)　	許配	做人矣　tsuè--lâng--ah	拍定　phah-tiānn	有擔頭矣　ū-tànn-thâu--ah, 伨人矣　thīn--lâng--ah	做人矣　tsò--lâng--ah	做人矣　tsòr--lâng--ah	做人矣　tsòr--lâng--ah	伨人矣　thīn--lâng--ah	做人矣　tsuè--lâng--ah	做人囉　tsuè--lâng--looh	做人矣　tsò--lâng--ah, 佮人硩定矣　kah-lâng-teh-tiānn--ah, 硩定了矣　teh-tīng-liáu--ah, 過定矣　kuè-tiānn--ah
O	6946	動	做人	tsò-lâng/tsuè-lâng	做儂				伊/做人/誠/好/。	他為人很好。	【動】為人。指做人的態度、為人處世。例：伊做人誠好。I tsò-lâng tsiânn hó. (他為人很好。)　											
O	6947	動	做人情	tsò-jîn-tsîng/tsuè-lîn-tsîng					就/算/講/做人情/予伊/嘛是/袂䆀/。	就當是賣個人情給他也是不錯。	【動】送人情、賣人情。給予他人恩惠，使人感激。例：就算講做人情予伊嘛是袂䆀。Tō sǹg-kóng tsò-jîn-tsîng hōo i mā sī bē-bái. (就當是賣個人情給他也是不錯。)　											
O	6949	動	做工	tsò-kang/tsuè-kang			作穡		伊/去/做工/矣/。	他去幹活了。	【動】幹活。從事勞力的工作。例：伊去做工矣。I khì tsò-kang--ah. (他去幹活了。)　	做工	作穡　tsoh-sit	作穡　tsoh-sit	作穡　tsorh-sit	作穡　tsoh-sit	作穡　tsorh-sit	作穡的　tsorh-sit--ê	做工　tsuè-kang 	做穡　tsuè-sit	做工仔　tsuè-kang-á, 做穡　tsuè-sit	做工課　tsò-khang-khuè, 作穡　tsoh-sit
O	6951	動	做大水	tsò-tuā-tsuí/tsuè-tuā-tsuí			淹大水、淹水、做水災	洘旱	這/擺/市內/做大水/，/損失/誠/重/。	這次都市裡發生水災，損失慘重。	【動】水災、淹水。例：這擺市內做大水，損失誠重。Tsit pái tshī-lāi tsò-tuā-tsuí, sún-sit tsiânn tāng. (這次都市裡發生水災，損失慘重。)　	水災	漲大水　tiòng-tuā-tsuí	做大水　tsò-tuā-tsuí	做大水　tsò-tuā-tsuí	水災　tsuí-tsai, 淹大水　im-tuā-tsuí	水災　tsuí-tsai, 做大水　tsòr-tuā-tsuí	水災　tsuí-tsai, 做大水　tsòr-tuā-tsuí	做大水　tsuè-tuā-tsuí	做大水　tsuè-tuā-tsuí, 水災　tsuí-tsai	做大水　tsuè-tuā-tsuí, 水災　tsuí-tsai	做大水　tsò-tuā-tsuí, 水災　tsuí-tsai
O	6952	熟	偷工減料	thau-kang-kiám-liāu					做/代誌/愛/照起工/，/毋通/偷工減料/。	做事情要按部就班，不可以偷工減料。	【熟】不依照生產或工程所規定的質量要求，而削減工序或用料。也比喻做事取巧。例：做代誌愛照起工，毋通偷工減料。Tsò tāi-tsì ài tsiàu-khí-kang, m̄-thang thau-kang-kiám-liāu. (做事情要按部就班，不可以偷工減料。)　											
O	6953	動	偏心	phian-sim			大細心、私心	公平、中立、公正	分派/工課/愛/公平/，/袂使/偏心/。	分派工作要公平，不可以偏袒個人。	【動】偏袒。袒護一方，對某一方存私心。例：分派工課愛公平，袂使偏心。Hun-phài khang-khuè ài kong-pênn, bē-sái phian-sim. (分派工作要公平，不可以偏袒個人。)　											
O	6954	動	做歹	tsò-pháinn/tsuè-pháinn					生活/閣/較/困/難/，/嘛/袂使/做歹/。	生活再怎麼困難，也不能為非作歹。	【動】作惡、為非作歹。例：生活閣較困難，嘛袂使做歹。Sing-ua̍h koh-khah khùn-lân, mā bē-sái tsò-pháinn. (生活再怎麼困難，也不能為非作歹。)　											
O	6958	動	做月內	tsò-gue̍h-lāi/tsuè-ge̍h-lāi					/某/閣/咧/做月內/。	他老婆還在坐月子。	【動】坐月子。婦女生產後一個月內的休息和調養。例：某閣咧做月內。In bóo koh teh tsò-gue̍h-lāi. (他老婆還在坐月子。)　											
O	6960	動	假仙	ké-sian					伊/真/𠢕/假仙/，/你/毋通/予伊/騙/去/。	他很會假裝，你不要被他騙了。	【動】假裝、裝蒜。例：伊真𠢕假仙，你毋通予伊騙去。I tsin gâu ké-sian, lí m̄-thang hōo i phiàn--khì. (他很會假裝，你不要被他騙了。)　											
O	6962	熟	假仙假觸	ké-sian-ké-tak	假仙假𧰵				欲/食/就/提/，/莫/咧/假仙假觸/。	想吃就拿，不要裝了。	【熟】假惺惺、佯裝。例：欲食就提，莫咧假仙假觸。Beh tsia̍h tō the̍h, mài teh ké-sian-ké-tak. (想吃就拿，不要裝了。)　											
O	6963	名	假包	ké-pâu			假包的		這/是/假包/的/，/你/予/人/騙/去/矣/！	這是冒牌貨，你被人騙了！	【名】冒牌貨、贗品。例：這是假包的，你予人騙去矣！Tse sī ké-pâu--ê, lí hōo lâng phiàn-khì--ah! (這是冒牌貨，你被人騙了！)　											
O	6964	動	做司公	tsò-sai-kong/tsuè-sai-kong	做師公				你/有/請/人/來/做司公/無/？	你有沒有請人來做法事？	【動】做法事。由道士來執行道教的某些特定儀式。例：你有請人來做司公無？Lí ū tshiánn lâng lâi tsò-sai-kong--bô? (你有沒有請人來做法事？)　											
O	6965	動	做功德	tsò-kong-tik/tsuè-kong-tik					逐家/做/伙/來/做功德/。	大家一起來行善。	1.【動】行善、做好事。例：逐家做伙來做功德。Ta̍k-ke tsò-hué lâi tsò-kong-tik. (大家一起來行善。)　											
O	6966	動	剪布	tsián-pòo			裁布、鉸布		媽媽/去/布/莊/剪布/欲/做/新/衫/。	媽媽去布莊買布要做新衣服。	【動】裁布、買布。裁剪布料，通常引申為買布料。例：媽媽去布莊剪布欲做新衫。Má-mah khì pòo-tsng tsián-pòo beh tsò sin sann. (媽媽去布莊買布要做新衣服。)　											
X	6971	副	做伙	tsò-hué/tsuè-hé			相佮、鬥陣、做陣		咱/兩/个/做/伙/來去/𨑨迌/。	我們兩個一起去玩。	1.【副】一起、一塊兒。例：咱兩个做伙來去𨑨迌。Lán nn̄g ê tsò-hué lâi-khì tshit-thô. (我們兩個一起去玩。)　	一起	鬥陣　tàu-tǐn, 做伙　tsuè-hér	鬥陣　tàu-tīn, 做伙　tserè-hér	鬥陣　tàu-tīn, 做伙　tsuè-hé	鬥陣　tàu-tīn, 做伙　tsò-hué	鬥陣　tàu-tīn, 做伙　tsòr-hué	鬥陣　tàu-tīn, 做伙　tsòr-hué	相佮　sann-kap	做伙　tsuè-hé, 鬥陣　tàu-tīn	鬥陣　tàu-tīn, 做一下　tsuè--tsi̍t-ē, 做伙　tsuè-hér	同齊　tâng-tsê, 做伙　tsò-hué, 鬥陣　tàu-tīn
X	6971	動	做伙	tsò-hué/tsuè-hé			相佮、鬥陣、做陣		有/緣/無/緣/，/逐家/來/做/伙/。	不論是否有緣，大家都同聚一堂。	2.【動】生活上的接觸、往來。例：有緣無緣，逐家來做伙。Ū iân bô iân, ta̍k-ke lâi tsò-hué.(不論是否有緣，大家都同聚一堂。)　	一起	鬥陣　tàu-tǐn, 做伙　tsuè-hér	鬥陣　tàu-tīn, 做伙　tserè-hér	鬥陣　tàu-tīn, 做伙　tsuè-hé	鬥陣　tàu-tīn, 做伙　tsò-hué	鬥陣　tàu-tīn, 做伙　tsòr-hué	鬥陣　tàu-tīn, 做伙　tsòr-hué	相佮　sann-kap	做伙　tsuè-hé, 鬥陣　tàu-tīn	鬥陣　tàu-tīn, 做一下　tsuè--tsi̍t-ē, 做伙　tsuè-hér	同齊　tâng-tsê, 做伙　tsò-hué, 鬥陣　tàu-tīn
X	6972	形	健丟	kiān-tiu					這/个/囡仔/真/健/丟/，/閣/會曉/拋麒麟/。	這個小孩真俐落，還會側滾翻。	1.【形】伶俐、靈活。形容小孩子天真活潑、動作俐落。例：這个囡仔真健丟，閣會曉拋麒麟。Tsit ê gín-á tsin kiān-tiu, koh ē-hiáu pha-kî-lîn. (這個小孩真俐落，還會側滾翻。)　[近]扭掠、活動、活潑											
X	6972	形	健丟	kiān-tiu					健/丟/閣/發/喙鬚/。	形容人鬍子長得很可笑。	2.【形】形容人的言行怪異可笑。例：健丟閣發喙鬚。Kiān-tiu koh huat tshuì-tshiu. (形容人鬍子長得很可笑。)　[近]各馝											
O	6975	熟	假好衰	ké-hó-sue					你/免/咧/假好衰/啦/。	你不用裝好心。	【熟】假好心、貓哭耗子假慈悲。例：你免咧假好衰啦。Lí bián teh ké-hó-sue--lah. (你不用裝好心。)　											
O	6976	動	假死	ké-sí					你/莫/假死/矣/，/你/哪/有/可能/毋知/。	你別裝蒜了，你怎麼可能會不知道。	2.【動】假惺惺、裝蒜。例：你莫假死矣，你哪有可能毋知。Lí mài ké-sí--ah, lí ná-ū khó-lîng m̄-tsai. (你別裝蒜了，你怎麼可能會不知道。)　											
O	6978	熟	假死假活	ké-sí-ké-ua̍h			假死、激悾激戇		你/莫/佇/遐/假死假活/。	你少在那裡裝瘋賣傻。	【熟】裝瘋賣傻。故意裝成痴呆瘋癲的樣子。 例：你莫佇遐假死假活。Lí mài tī hia ké-sí-ké-ua̍h. (你少在那裡裝瘋賣傻。)　											
O	6979	動	做色	tsò-sik/tsuè-sik			染色		做/紅龜粿/的/時/愛/用/紅/花/粉/做色/。	做紅龜粿時要用紅花粉染色。	【動】染色。例：做紅龜粿的時愛用紅花粉做色。Tsò âng-ku-kué ê sî ài iōng âng-hue-hún tsò-sik. (做紅龜粿時要用紅花粉染色。)　											
O	6980	動	做忌	tsò-kī/tsuè-kī					明仔載/就是/恁/阿公/做忌/的/日/子/。	明天就是你祖父的忌辰。	【動】在逝世者去世的紀念日擺設供品祭拜。例：明仔載就是恁阿公做忌的日子。Bîn-á-tsài tō sī lín a-kong tsò-kī ê ji̍t-tsí. (明天就是你祖父的忌辰。)　	做忌	做忌　tsuè-kī; tsuè-kì	做忌　tsò-kī	做忌　tsuè-khī	做忌　tsò-kī	做忌　tsòr-kī	做忌　tsòr-kī	做忌　tsuè-kī	做忌　tsuè-kī	做忌　tsuè-kī	做忌　tsò-kī
O	6981	連	假使	ká-sú			若是、若準		假使/若/落雨/，/我/就/無愛/去/矣/。	如果下雨，我就不去了。	【連】假如、如果。例：假使若落雨，我就無愛去矣。Ká-sú nā lo̍h-hōo, guá tō bô ài khì--ah. (如果下雨，我就不去了。)　											
O	6982	熟	偷來暗去	thau-lâi-àm-khì					/兩/人/偷來暗去/，/通/庄頭/的/人/攏/嘛/知/。	他們兩人私通，全村莊的人都知道。	【熟】私下交往、秘密往來。例：兩人偷來暗去，通庄頭的人攏嘛知。In nn̄g lâng thau-lâi-àm-khì, thong tsng-thâu ê lâng lóng mā tsai. (他們兩人私通，全村莊的人都知道。)　											
O	6983	動	做店面	tsò tiàm-bīn/tsuè tiàm-bīn					伊/欲/共/一/樓/提/來/做店面/。	他要把一樓拿來當作店面。	【動】當作、成為店面。例：伊欲共一樓提來做店面。I beh kā it lâu the̍h lâi tsò tiàm-bīn. (他要把一樓拿來當作店面。)　											
O	6984	動	偷拈	thau ni	偷捻		偷提		菜/煮/好/矣/，/你/毋通/佇/遐/偷拈/。	菜煮好了，你不可以在那兒偷拿。	【動】偷拿。原指是用手指夾取東西，分量並不多。例：菜煮好矣，你毋通佇遐偷拈。Tshài tsú hó--ah, lí m̄-thang tī hia thau ni. (菜煮好了，你不可以在那兒偷拿。)　											
O	6987	動	做客	tsò-kheh/tsuè-kheh					伊/今仔日/轉去/外家/做客/。	她今天歸寧。	1.【動】回門、歸寧。例：伊今仔日轉去外家做客。I kin-á-ji̍t tńg-khì guā-ke tsò-kheh. (她今天歸寧。)　											
O	6988	動	偷看	thau khuànn					考試/的/時陣/袂使/偷看/。	考試的時候不可以作弊。	【動】偷窺、作弊。偷偷地看、暗中察看，也可以引申為作弊。例：考試的時陣袂使偷看。Khó-tshì ê sî-tsūn bē-sái thau khuànn. (考試的時候不可以作弊。)　											
O	6989	動	偷食	thau tsia̍h	偷噍、偷吃				會曉/偷食/，/袂曉/拭/喙/。	懂得偷吃，不懂得擦嘴巴。即不知善後的意思。	【動】偷吃。例：會曉偷食，袂曉拭喙。Ē-hiáu thau tsia̍h, bē-hiáu tshit tshuì. (懂得偷吃，不懂得擦嘴巴。即不知善後的意思。)　											
O	6990	動	偷食步	thau-tsia̍h-pōo	偷噍步、偷吃步		暗步、暗計	照步來、照起工來	伊/逐擺/行棋/都/偷食步/。	他每次下棋都作弊。	【動】作弊、投機取巧。利用時機、不守規定、不按部就班而獲取利益。例：伊逐擺行棋都偷食步。I ta̍k-pái kiânn-kî to thau-tsia̍h-pōo. (他每次下棋都作弊。)　											
